Term,Coef,SE Coef,95% CI,T-Value,P-Value
  Halifax,-0.155,0.441,"(-1.019, 0.710)",-0.35,0.726
  Hallandale,-0.177,0.389,"(-0.940, 0.586)",-0.45,0.65
  Hallandale Beach,-0.561,0.42,"(-1.384, 0.261)",-1.34,0.181
  Hallowell,-1.17,0.54,"(-2.229, -0.111)",-2.17,0.03
  Halsey,-0.91,0.388,"(-1.670, -0.150)",-2.35,0.019
  Haltom City,-1.054,0.419,"(-1.876, -0.232)",-2.51,0.012
  Hamburg,-0.479,0.406,"(-1.274, 0.316)",-1.18,0.238
  Hamden,-1.29,0.414,"(-2.101, -0.479)",-3.12,0.002
  Hamel,-0.841,0.539,"(-1.898, 0.215)",-1.56,0.119
  Hamilton,-0.116,0.541,"(-1.177, 0.945)",-0.21,0.83
  Hamilton City,-0.872,0.405,"(-1.666, -0.077)",-2.15,0.032
  Hammond,-1.155,0.391,"(-1.922, -0.388)",-2.95,0.003
  Hammonton,-1.068,0.409,"(-1.871, -0.266)",-2.61,0.009
  Hampden,-0.729,0.429,"(-1.569, 0.111)",-1.7,0.089
  Hampshire,-0.257,0.468,"(-1.174, 0.661)",-0.55,0.584
  Hampstead,-1.544,0.442,"(-2.411, -0.678)",-3.49,0
  Hampton,-0.858,0.39,"(-1.622, -0.095)",-2.2,0.028
  Hampton Falls,-0.811,0.469,"(-1.730, 0.107)",-1.73,0.084
  Hamptonville,0.049,0.54,"(-1.009, 1.108)",0.09,0.927
  Hamtramck,-1.157,0.406,"(-1.952, -0.362)",-2.85,0.004
  Hanceville,-0.406,0.42,"(-1.230, 0.418)",-0.97,0.334
  Hancock,-0.714,0.398,"(-1.495, 0.067)",-1.79,0.073
  Hanford,-0.814,0.385,"(-1.569, -0.059)",-2.11,0.035
  Hanley Falls,-0.764,0.467,"(-1.680, 0.152)",-1.63,0.102
  Hanover,-0.936,0.404,"(-1.728, -0.145)",-2.32,0.02
  Hanover Park,-1.377,0.397,"(-2.156, -0.599)",-3.47,0.001
  Happy Camp,-0.881,0.467,"(-1.797, 0.035)",-1.88,0.06
  Happy Valley,-0.762,0.385,"(-1.516, -0.008)",-1.98,0.048
  Harborcreek,0.185,0.54,"(-0.874, 1.244)",0.34,0.732
  Hardeeville,-0.918,0.429,"(-1.759, -0.078)",-2.14,0.032
  Hardy,-0.909,0.468,"(-1.826, 0.008)",-1.94,0.052
  Harlan,0.432,0.471,"(-0.490, 1.355)",0.92,0.358
  Harlem,-1.8,0.468,"(-2.717, -0.883)",-3.85,0
  Harmony,-0.801,0.467,"(-1.718, 0.115)",-1.71,0.086
  Harper,-0.831,0.388,"(-1.591, -0.070)",-2.14,0.032
  Harper Woods,-0.924,0.396,"(-1.700, -0.147)",-2.33,0.02
  Harpersfield,0.645,0.468,"(-0.272, 1.561)",1.38,0.168
  Harrells,0.424,0.469,"(-0.494, 1.343)",0.91,0.365
  Harriman,-1.403,0.441,"(-2.267, -0.539)",-3.18,0.001
  Harrington,-1.293,0.471,"(-2.216, -0.369)",-2.74,0.006
  Harris,-0.828,0.391,"(-1.595, -0.061)",-2.12,0.034
  Harrisburg,-0.934,0.385,"(-1.688, -0.180)",-2.43,0.015
  Harrison,-0.966,0.406,"(-1.761, -0.171)",-2.38,0.017
  Harrison Township,-1.264,0.403,"(-2.054, -0.474)",-3.13,0.002
  Harrisonburg,-1.065,0.413,"(-1.875, -0.256)",-2.58,0.01
  Harrisville,-0.455,0.469,"(-1.374, 0.464)",-0.97,0.332
  Hart,-0.702,0.539,"(-1.759, 0.355)",-1.3,0.193
  Hartford,-1.038,0.387,"(-1.797, -0.279)",-2.68,0.007
  Hartland,0.368,0.539,"(-0.689, 1.425)",0.68,0.495
  Hartly,-0.168,0.471,"(-1.092, 0.755)",-0.36,0.721
  Hartsdale,0.009,0.427,"(-0.829, 0.847)",0.02,0.983
  Hartsel,-0.978,0.468,"(-1.895, -0.060)",-2.09,0.037
  Hartselle,-1.048,0.469,"(-1.967, -0.128)",-2.23,0.025
  Harvard,-1.003,0.541,"(-2.063, 0.057)",-1.86,0.064
  Harvest,-1.065,0.469,"(-1.984, -0.145)",-2.27,0.023
  Harvey,-0.661,0.54,"(-1.719, 0.397)",-1.22,0.221
  Harwich,-1.04,0.541,"(-2.100, 0.019)",-1.92,0.054
  Harwinton,-0.698,0.54,"(-1.756, 0.360)",-1.29,0.196
  Harwood,0.163,0.428,"(-0.675, 1.001)",0.38,0.704
  Hasbrouck Heights,-1.138,0.468,"(-2.055, -0.220)",-2.43,0.015
  Haskell,-0.792,0.54,"(-1.850, 0.266)",-1.47,0.142
  Haslet,-0.653,0.54,"(-1.711, 0.405)",-1.21,0.226
  Haslett,-1.072,0.468,"(-1.989, -0.155)",-2.29,0.022
  Hastings,-0.762,0.385,"(-1.517, -0.007)",-1.98,0.048
  Hat Creek,-0.952,0.427,"(-1.789, -0.115)",-2.23,0.026
  Hattiesburg,-0.969,0.394,"(-1.741, -0.198)",-2.46,0.014
  Haubstadt,-1.702,0.54,"(-2.760, -0.644)",-3.15,0.002
  Haughton,-0.368,0.543,"(-1.433, 0.696)",-0.68,0.498
  Hauppauge,-0.251,0.406,"(-1.046, 0.544)",-0.62,0.536
  Hauser,-0.991,0.546,"(-2.061, 0.079)",-1.81,0.07
  Haverhill,-1.155,0.421,"(-1.980, -0.331)",-2.75,0.006
  Havre,-1.281,0.551,"(-2.361, -0.202)",-2.33,0.02
  Havre de Grace,-1.332,0.469,"(-2.250, -0.413)",-2.84,0.005
  Havre De Grace,-1.844,0.54,"(-2.903, -0.785)",-3.41,0.001
  Haw River,-0.494,0.54,"(-1.553, 0.564)",-0.92,0.36
  Hawaiian Gardens,-0.859,0.393,"(-1.630, -0.088)",-2.18,0.029
  Hawick,-0.809,0.427,"(-1.646, 0.028)",-1.89,0.058
  Hawkinsville,-1.833,0.54,"(-2.890, -0.775)",-3.4,0.001
  Hawthorne,-0.79,0.383,"(-1.541, -0.038)",-2.06,0.039
  Hayden,-1.105,0.429,"(-1.945, -0.264)",-2.58,0.01
  Hayes,-0.38,0.468,"(-1.297, 0.537)",-0.81,0.417
  Hayfield,-0.831,0.427,"(-1.668, 0.006)",-1.95,0.052
  Hayfork,-0.888,0.391,"(-1.655, -0.121)",-2.27,0.023
  Haymarket,-0.878,0.468,"(-1.795, 0.038)",-1.88,0.06
  Hayneville,-1.146,0.429,"(-1.987, -0.305)",-2.67,0.008
  Hays,-1.647,0.544,"(-2.713, -0.580)",-3.03,0.002
  Haysi,-1.348,0.539,"(-2.405, -0.291)",-2.5,0.012
  Hayward,-0.863,0.383,"(-1.613, -0.113)",-2.25,0.024
  Hazel Crest,-0.721,0.428,"(-1.559, 0.118)",-1.68,0.092
  Hazel Park,-0.96,0.394,"(-1.733, -0.187)",-2.43,0.015
  Hazelton,-1.196,0.475,"(-2.128, -0.265)",-2.52,0.012
  Hazelwood,-0.728,0.405,"(-1.521, 0.064)",-1.8,0.072
  Hazen,-2.25,0.542,"(-3.312, -1.189)",-4.16,0
  Hazlet,-0.417,0.414,"(-1.228, 0.394)",-1.01,0.314
  Hazleton,-1.836,0.54,"(-2.895, -0.777)",-3.4,0.001
  Healdsburg,-0.823,0.388,"(-1.583, -0.062)",-2.12,0.034
  Heathsville,-0.201,0.441,"(-1.065, 0.664)",-0.45,0.649
  Heavener,-0.285,0.762,"(-1.778, 1.208)",-0.37,0.709
  Heber Springs,-0.478,0.541,"(-1.539, 0.583)",-0.88,0.377
  Hebo,-0.775,0.39,"(-1.540, -0.010)",-1.99,0.047
  Hebron,-0.459,0.398,"(-1.240, 0.322)",-1.15,0.249
  Hector,-0.763,0.427,"(-1.600, 0.074)",-1.79,0.074
  Heflin,-0.49,0.443,"(-1.357, 0.378)",-1.11,0.269
  Heiskell,0.401,0.468,"(-0.517, 1.318)",0.86,0.392
  Helix,-1.093,0.398,"(-1.873, -0.313)",-2.75,0.006
  Helper,-0.647,0.386,"(-1.403, 0.108)",-1.68,0.093
  Hemet,-0.769,0.395,"(-1.543, 0.005)",-1.95,0.051
  Hempstead,-1.072,0.413,"(-1.882, -0.263)",-2.6,0.009
  Henderson,-0.587,0.39,"(-1.352, 0.177)",-1.51,0.132
  Hendersonville,-0.971,0.427,"(-1.808, -0.133)",-2.27,0.023
  Henefer,-0.497,0.419,"(-1.318, 0.324)",-1.19,0.236
  Hennepin,0.096,0.54,"(-0.962, 1.153)",0.18,0.859
  Henning,-0.794,0.403,"(-1.584, -0.004)",-1.97,0.049
  Henrico,-0.887,0.403,"(-1.677, -0.097)",-2.2,0.028
  Henrietta,-1.402,0.419,"(-2.223, -0.581)",-3.35,0.001
  Henriette,-0.766,0.539,"(-1.823, 0.291)",-1.42,0.155
  Henryville,-1.266,0.428,"(-2.106, -0.427)",-2.96,0.003
  Hensley,-1.492,0.541,"(-2.553, -0.431)",-2.76,0.006
  Hephzibah,-1.046,0.468,"(-1.963, -0.128)",-2.23,0.025
  Heppner,-0.768,0.39,"(-1.532, -0.004)",-1.97,0.049
  Herculaneum,-1.503,0.542,"(-2.564, -0.441)",-2.77,0.006
  Hercules,-0.795,0.388,"(-1.556, -0.033)",-2.05,0.041
  Hereford,-0.995,0.467,"(-1.911, -0.079)",-2.13,0.033
  Herkimer,-1.463,0.539,"(-2.520, -0.406)",-2.71,0.007
  Hermantown,-0.794,0.441,"(-1.658, 0.070)",-1.8,0.072
  Hermiston,-0.798,0.384,"(-1.550, -0.046)",-2.08,0.038
  Hermitage,-1.216,0.428,"(-2.055, -0.378)",-2.84,0.004
  Hernando,-1.282,0.47,"(-2.203, -0.361)",-2.73,0.006
  Herndon,-1.367,0.539,"(-2.424, -0.310)",-2.53,0.011
  Heron Lake,-0.797,0.427,"(-1.634, 0.041)",-1.86,0.062
  Herriman,-0.631,0.4,"(-1.414, 0.152)",-1.58,0.114
  Hesperus,0.045,0.541,"(-1.015, 1.104)",0.08,0.934
  Heth,-1.434,0.541,"(-2.495, -0.373)",-2.65,0.008
  Hewitt,-0.809,0.413,"(-1.618, -0.000)",-1.96,0.05
  Hewlett,0.644,0.468,"(-0.273, 1.561)",1.38,0.168
  Hialeah,-0.539,0.385,"(-1.295, 0.216)",-1.4,0.162
  Hibbing,-0.798,0.389,"(-1.560, -0.036)",-2.05,0.04
  Hickman,-0.85,0.441,"(-1.714, 0.015)",-1.93,0.054
  Hickory,-0.314,0.428,"(-1.153, 0.525)",-0.73,0.463
  Hickory Hills,-0.931,0.419,"(-1.752, -0.110)",-2.22,0.026
  Hicksville,-0.53,0.539,"(-1.587, 0.528)",-0.98,0.326
  Hidden Valley Lake,-0.89,0.418,"(-1.710, -0.069)",-2.13,0.034
  Higganum,-0.309,0.442,"(-1.175, 0.557)",-0.7,0.484
  Higginsville,-1.867,0.542,"(-2.929, -0.806)",-3.45,0.001
  High Point,0.107,0.41,"(-0.696, 0.910)",0.26,0.794
  High Ridge,-0.365,0.444,"(-1.236, 0.506)",-0.82,0.411
  High Springs,-1.413,0.54,"(-2.472, -0.355)",-2.62,0.009
  Highland,-0.75,0.385,"(-1.504, 0.004)",-1.95,0.051
  Highland Falls,-0.039,0.413,"(-0.848, 0.771)",-0.09,0.926
  Highland Mills,0.503,0.468,"(-0.415, 1.421)",1.07,0.283
  Highland Park,-1.152,0.386,"(-1.908, -0.396)",-2.99,0.003
  Hightstown,0.359,0.54,"(-0.698, 1.417)",0.67,0.505
  Hiko,-0.012,0.556,"(-1.101, 1.078)",-0.02,0.983
  Hill AFB,-0.886,0.427,"(-1.724, -0.048)",-2.07,0.038
  Hill City,-0.803,0.413,"(-1.612, 0.007)",-1.94,0.052
  Hillburn,-1.423,0.539,"(-2.480, -0.366)",-2.64,0.008
  Hilliard,-1.75,0.469,"(-2.669, -0.832)",-3.73,0
  Hillsboro,-0.403,0.385,"(-1.157, 0.351)",-1.05,0.295
  Hillsborough,1.063,0.441,"(0.199, 1.927)",2.41,0.016
  Hillsdale,0.359,0.468,"(-0.557, 1.276)",0.77,0.442
  Hillside,-0.91,0.387,"(-1.667, -0.152)",-2.35,0.019
  Hillsville,-1.511,0.441,"(-2.376, -0.646)",-3.42,0.001
  Hilmar,-0.903,0.413,"(-1.712, -0.094)",-2.19,0.029
  Hinckley,-0.817,0.389,"(-1.580, -0.054)",-2.1,0.036
  Hines,-0.816,0.388,"(-1.576, -0.055)",-2.1,0.036
  Hinesville,0.084,0.468,"(-0.834, 1.001)",0.18,0.858
  Hinkley,-0.827,0.427,"(-1.664, 0.010)",-1.94,0.053
  Hinsdale,-1.031,0.404,"(-1.821, -0.240)",-2.55,0.011
  Hinton,0.565,0.468,"(-0.352, 1.481)",1.21,0.227
  Hixson,-0.568,0.42,"(-1.390, 0.254)",-1.35,0.176
  Hixton,-2.021,0.537,"(-3.075, -0.968)",-3.76,0
  Hobart,-1.859,0.469,"(-2.777, -0.941)",-3.97,0
  Hobe Sound,-0.841,0.415,"(-1.653, -0.028)",-2.03,0.043
  Hockessin,-0.296,0.471,"(-1.220, 0.627)",-0.63,0.53
  Hockley,0.306,0.468,"(-0.612, 1.223)",0.65,0.514
  Hoffman,-0.079,0.409,"(-0.880, 0.722)",-0.19,0.847
  Hoffman Estates,-1.236,0.406,"(-2.032, -0.441)",-3.05,0.002
  Holbrook,-0.195,0.419,"(-1.016, 0.625)",-0.47,0.641
  Holden,-0.152,0.414,"(-0.964, 0.659)",-0.37,0.713
  Holdingford,-0.758,0.539,"(-1.814, 0.299)",-1.41,0.16
  Holladay,0.51,0.442,"(-0.356, 1.377)",1.15,0.248
  Holland,-1.198,0.389,"(-1.960, -0.435)",-3.08,0.002
  Hollis,-1.095,0.468,"(-2.012, -0.179)",-2.34,0.019
  Hollister,-0.851,0.384,"(-1.605, -0.098)",-2.21,0.027
  Holloway,-0.769,0.539,"(-1.826, 0.287)",-1.43,0.154
  Holly,-0.834,0.419,"(-1.655, -0.013)",-1.99,0.046
  Holly Hill,-1.253,0.54,"(-2.313, -0.194)",-2.32,0.02
  Hollywood,-0.723,0.386,"(-1.480, 0.033)",-1.87,0.061
  Holmdel,-1.701,0.468,"(-2.618, -0.783)",-3.63,0
  Holmes,-0.59,0.427,"(-1.428, 0.247)",-1.38,0.167
  Holt,-1.803,0.441,"(-2.669, -0.938)",-4.09,0
  Holtsville,-0.92,0.413,"(-1.730, -0.111)",-2.23,0.026
  Homeland,-0.902,0.397,"(-1.680, -0.125)",-2.27,0.023
  Homestead,-0.888,0.41,"(-1.691, -0.085)",-2.17,0.03
  Homewood,-0.786,0.468,"(-1.703, 0.131)",-1.68,0.093
  Honeoye Falls,0.484,0.54,"(-0.574, 1.542)",0.9,0.37
  Honor,0.405,0.468,"(-0.512, 1.321)",0.87,0.387
  Hood River,-0.805,0.384,"(-1.558, -0.053)",-2.1,0.036
  Hoodsport,-1.437,0.54,"(-2.495, -0.379)",-2.66,0.008
  Hooksett,-0.84,0.397,"(-1.619, -0.062)",-2.12,0.034
  Hoopa,-0.889,0.398,"(-1.669, -0.109)",-2.24,0.025
  Hooper,-0.933,0.409,"(-1.734, -0.131)",-2.28,0.023
  Hoosick Falls,0.43,0.468,"(-0.487, 1.347)",0.92,0.358
  Hope,-0.428,0.541,"(-1.489, 0.633)",-0.79,0.429
  Hope Hull,-1.342,0.469,"(-2.261, -0.422)",-2.86,0.004
  Hopewell,-0.112,0.419,"(-0.933, 0.709)",-0.27,0.789
  Hopewell Junction,-1.34,0.397,"(-2.118, -0.562)",-3.38,0.001
  Hopkins,-0.779,0.384,"(-1.533, -0.026)",-2.03,0.043
  Hopkinton,-1.062,0.541,"(-2.122, -0.003)",-1.96,0.049
  Hopland,-0.895,0.391,"(-1.662, -0.128)",-2.29,0.022
  Horn Lake,-1.261,0.47,"(-2.182, -0.340)",-2.68,0.007
  Hornbrook,-0.879,0.399,"(-1.662, -0.097)",-2.2,0.028
  Horse Cave,-2.064,0.542,"(-3.126, -1.003)",-3.81,0
  Horseheads,0.608,0.539,"(-0.449, 1.665)",1.13,0.259
  Horseshoe Bend,-0.959,0.475,"(-1.891, -0.027)",-2.02,0.044
  Hortonville,-0.073,0.465,"(-0.985, 0.839)",-0.16,0.876
  Hot Springs National Park,-1.341,0.412,"(-2.148, -0.535)",-3.26,0.001
  Hot Sulphur Springs,-0.938,0.441,"(-1.803, -0.073)",-2.12,0.034
  Houghton Lake,-1.001,0.441,"(-1.865, -0.136)",-2.27,0.023
  Houlton,-0.727,0.542,"(-1.789, 0.335)",-1.34,0.18
  Houma,-1.373,0.414,"(-2.184, -0.562)",-3.32,0.001
  Houston,-0.768,0.384,"(-1.520, -0.016)",-2,0.045
  Howard,-1.512,0.469,"(-2.431, -0.593)",-3.22,0.001
  Howard Beach,-0.683,0.427,"(-1.521, 0.154)",-1.6,0.11
  Howard Lake,-0.757,0.467,"(-1.673, 0.159)",-1.62,0.105
  Howe,-0.489,0.54,"(-1.548, 0.569)",-0.91,0.365
  Howell,-0.438,0.396,"(-1.213, 0.338)",-1.11,0.269
  Howes Cave,-0.61,0.468,"(-1.527, 0.306)",-1.31,0.192
  Howey in the Hills,-0.523,0.468,"(-1.441, 0.395)",-1.12,0.264
  Howland,-0.929,0.469,"(-1.848, -0.010)",-1.98,0.047
  Hubbard,-0.815,0.386,"(-1.572, -0.058)",-2.11,0.035
  Huddleston,-0.471,0.539,"(-1.528, 0.586)",-0.87,0.383
  Hudson,-0.484,0.4,"(-1.269, 0.301)",-1.21,0.227
  Hudson Falls,0.496,0.427,"(-0.342, 1.333)",1.16,0.246
  Hudsonville,-1.341,0.406,"(-2.136, -0.546)",-3.31,0.001
  Hughson,-0.873,0.399,"(-1.655, -0.090)",-2.19,0.029
  Hugo,-0.844,0.389,"(-1.607, -0.081)",-2.17,0.03
  Humble,-0.645,0.398,"(-1.424, 0.135)",-1.62,0.105
  Hunker,-1.898,0.469,"(-2.817, -0.980)",-4.05,0
  Huntersville,-1.168,0.414,"(-1.980, -0.357)",-2.82,0.005
  Huntington,-0.89,0.383,"(-1.641, -0.138)",-2.32,0.02
  Huntington Beach,-0.742,0.386,"(-1.498, 0.013)",-1.93,0.054
  Huntington Park,-0.899,0.386,"(-1.655, -0.143)",-2.33,0.02
  Huntington Station,-0.608,0.4,"(-1.391, 0.175)",-1.52,0.128
  Huntington Woods,-0.97,0.441,"(-1.834, -0.105)",-2.2,0.028
  Huntsville,-1.003,0.386,"(-1.759, -0.247)",-2.6,0.009
  Hurlock,-0.218,0.42,"(-1.042, 0.605)",-0.52,0.604
  Huron,-0.894,0.389,"(-1.656, -0.132)",-2.3,0.021
  Hurricane,-0.867,0.384,"(-1.621, -0.114)",-2.26,0.024
  Hurst,-1.048,0.397,"(-1.825, -0.271)",-2.64,0.008
  Huson,-1.388,0.551,"(-2.468, -0.309)",-2.52,0.012
  Hustontown,-1.887,0.54,"(-2.946, -0.828)",-3.49,0
  Hutchins,-0.606,0.468,"(-1.523, 0.312)",-1.29,0.196
  Hutchinson,-0.788,0.396,"(-1.564, -0.012)",-1.99,0.047
  Hyattsville,-0.851,0.39,"(-1.616, -0.085)",-2.18,0.029
  Hyde Park,-0.737,0.543,"(-1.802, 0.327)",-1.36,0.175
  Hydes,0.106,0.54,"(-0.954, 1.165)",0.2,0.845
  Hydesville,-0.858,0.467,"(-1.774, 0.058)",-1.84,0.066
  Idaho Falls,-0.454,0.405,"(-1.248, 0.340)",-1.12,0.263
  Idaho Springs,-1.634,0.419,"(-2.455, -0.812)",-3.9,0
  Idanha,-0.804,0.389,"(-1.566, -0.041)",-2.07,0.039
  Idleyld Park,-0.833,0.385,"(-1.589, -0.078)",-2.16,0.031
  Ijamsville,-1.784,0.469,"(-2.703, -0.865)",-3.81,0
  Iliff,-1.672,0.54,"(-2.729, -0.614)",-3.1,0.002
  Imbler,-0.896,0.401,"(-1.682, -0.110)",-2.24,0.025
  Imlay,-0.685,0.461,"(-1.590, 0.219)",-1.49,0.137
  Imlay City,-0.398,0.539,"(-1.456, 0.659)",-0.74,0.46
  Immokalee,0.382,0.442,"(-0.484, 1.248)",0.86,0.387
  Imperial,-0.523,0.428,"(-1.362, 0.316)",-1.22,0.222
  Ina,-0.116,0.54,"(-1.174, 0.941)",-0.22,0.829
  Incline Village,0.065,0.556,"(-1.024, 1.155)",0.12,0.907
  Independence,-0.847,0.387,"(-1.606, -0.087)",-2.18,0.029
  Indian Head,0.202,0.469,"(-0.716, 1.121)",0.43,0.666
  Indian Hills,0.022,0.54,"(-1.036, 1.080)",0.04,0.967
  Indiana,0.121,0.469,"(-0.798, 1.040)",0.26,0.796
  Indianapolis,-1.394,0.385,"(-2.148, -0.640)",-3.62,0
  Ingleside,-1.111,0.4,"(-1.895, -0.327)",-2.78,0.005
  Inglewood,-0.842,0.383,"(-1.592, -0.091)",-2.2,0.028
  Interlaken,0.6,0.427,"(-0.237, 1.438)",1.4,0.16
  Interlochen,0.364,0.468,"(-0.552, 1.281)",0.78,0.436
  International Falls,-0.859,0.441,"(-1.723, 0.005)",-1.95,0.051
  Inver Grove Heights,-0.795,0.385,"(-1.549, -0.041)",-2.07,0.039
  Inverness,-1.335,0.54,"(-2.393, -0.277)",-2.47,0.013
  Inwood,-0.537,0.422,"(-1.363, 0.290)",-1.27,0.203
  Inyokern,-0.818,0.397,"(-1.595, -0.040)",-2.06,0.039
  Ione,-0.762,0.398,"(-1.542, 0.018)",-1.92,0.055
  Ionia,-0.874,0.468,"(-1.791, 0.042)",-1.87,0.062
  Iowa City,-0.066,0.416,"(-0.882, 0.750)",-0.16,0.874
  Iowa Park,0.413,0.54,"(-0.645, 1.471)",0.77,0.444
  Irasburg,-0.901,0.545,"(-1.968, 0.167)",-1.65,0.098
  Iron City,0.525,0.468,"(-0.394, 1.443)",1.12,0.263
  Ironside,-0.883,0.427,"(-1.720, -0.046)",-2.07,0.039
  Ironton,-0.413,0.405,"(-1.208, 0.382)",-1.02,0.308
  Irrigon,-0.956,0.385,"(-1.710, -0.201)",-2.48,0.013
  Irvine,-0.837,0.383,"(-1.587, -0.087)",-2.19,0.029
  Irving,-0.929,0.387,"(-1.688, -0.171)",-2.4,0.016
  Irvington,-1.46,0.394,"(-2.232, -0.688)",-3.71,0
  Irwin,0.17,0.429,"(-0.670, 1.010)",0.4,0.692
  Irwindale,-0.874,0.539,"(-1.930, 0.183)",-1.62,0.105
  Isabella,-0.832,0.467,"(-1.748, 0.084)",-1.78,0.075
  Isanti,-0.816,0.427,"(-1.653, 0.021)",-1.91,0.056
  Iselin,-1.517,0.404,"(-2.308, -0.725)",-3.76,0
  Islamorada,-0.552,0.402,"(-1.340, 0.237)",-1.37,0.17
  Island Falls,-0.977,0.54,"(-2.036, 0.082)",-1.81,0.071
  Island Lake,-0.963,0.428,"(-1.801, -0.125)",-2.25,0.024
  Islandia,-0.475,0.419,"(-1.296, 0.346)",-1.13,0.257
  Isle,-0.776,0.539,"(-1.833, 0.281)",-1.44,0.15
  Isleton,-0.829,0.387,"(-1.586, -0.071)",-2.14,0.032
  Islip,-1.548,0.468,"(-2.464, -0.631)",-3.31,0.001
  Islip Terrace,0.611,0.539,"(-0.446, 1.668)",1.13,0.257
  Ismay,-1.429,0.551,"(-2.509, -0.350)",-2.6,0.009
  Issaquah,-0.684,0.392,"(-1.453, 0.084)",-1.74,0.081
  Itasca,-1.285,0.409,"(-2.087, -0.483)",-3.14,0.002
  Ithaca,-1.652,0.539,"(-2.709, -0.595)",-3.06,0.002
  Ivanhoe,-0.934,0.441,"(-1.798, -0.070)",-2.12,0.034
  Jack,-1.035,0.541,"(-2.094, 0.025)",-1.91,0.056
  Jackson,-0.868,0.384,"(-1.621, -0.115)",-2.26,0.024
  Jackson Heights,-1.344,0.539,"(-2.401, -0.287)",-2.49,0.013
  Jacksonville,-0.753,0.384,"(-1.506, -0.001)",-1.96,0.05
  Jacobson,-0.874,0.468,"(-1.791, 0.042)",-1.87,0.061
  Jal,0.417,0.555,"(-0.671, 1.505)",0.75,0.453
  Jamaica,-0.78,0.387,"(-1.539, -0.022)",-2.02,0.044
  Jamestown,-0.912,0.387,"(-1.671, -0.154)",-2.36,0.018
  Jamesville,-0.404,0.539,"(-1.461, 0.653)",-0.75,0.454
  Jamieson,-0.888,0.441,"(-1.753, -0.024)",-2.02,0.044
  Jane Lew,-1.326,0.542,"(-2.388, -0.265)",-2.45,0.014
  Janesville,-0.903,0.39,"(-1.668, -0.139)",-2.32,0.02
  Jasper,-0.734,0.406,"(-1.529, 0.061)",-1.81,0.07
  Jeffers,-0.912,0.477,"(-1.846, 0.023)",-1.91,0.056
  Jefferson,-0.871,0.384,"(-1.624, -0.119)",-2.27,0.023
  Jeffersonville,-1.141,0.419,"(-1.963, -0.319)",-2.72,0.007
  Jemison,-1.159,0.469,"(-2.079, -0.240)",-2.47,0.013
  Jenison,-1.562,0.419,"(-2.383, -0.741)",-3.73,0
  Jenkins,-0.914,0.54,"(-1.971, 0.144)",-1.69,0.091
  Jenner,-0.905,0.403,"(-1.695, -0.116)",-2.25,0.025
  Jensen,-0.846,0.427,"(-1.684, -0.009)",-1.98,0.048
  Jericho,-0.841,0.401,"(-1.628, -0.055)",-2.1,0.036
  Jerome,-0.763,0.432,"(-1.610, 0.083)",-1.77,0.077
  Jeromesville,0.249,0.54,"(-0.810, 1.309)",0.46,0.644
  Jersey City,-1.227,0.391,"(-1.994, -0.461)",-3.14,0.002
  Jersey Shore,0.144,0.469,"(-0.775, 1.063)",0.31,0.759
  Jesup,0.489,0.542,"(-0.574, 1.552)",0.9,0.367
  Jetersville,-0.291,0.539,"(-1.348, 0.766)",-0.54,0.589
  Jewett City,0.49,0.409,"(-0.312, 1.293)",1.2,0.231
  Jobstown,0.186,0.442,"(-0.680, 1.051)",0.42,0.674
  Joelton,-1.426,0.468,"(-2.344, -0.508)",-3.05,0.002
  Joes,0.054,0.468,"(-0.863, 0.971)",0.12,0.908
  Johannesburg,-0.91,0.413,"(-1.718, -0.101)",-2.2,0.028
  John Day,-0.845,0.384,"(-1.598, -0.092)",-2.2,0.028
  Johnson City,-0.611,0.413,"(-1.420, 0.199)",-1.48,0.139
  Johnston,0.015,0.399,"(-0.768, 0.797)",0.04,0.971
  Johnstown,-0.845,0.387,"(-1.604, -0.086)",-2.18,0.029
  Joliet,-0.563,0.409,"(-1.365, 0.239)",-1.38,0.169
  Jones,0.367,0.419,"(-0.454, 1.188)",0.88,0.381
  Jonesboro,-0.336,0.409,"(-1.138, 0.466)",-0.82,0.411
  Jonesborough,-1.429,0.468,"(-2.347, -0.511)",-3.05,0.002
  Jonesville,-1.532,0.54,"(-2.591, -0.474)",-2.84,0.005
  Joplin,0.416,0.43,"(-0.428, 1.259)",0.97,0.334
  Joppa,-1.427,0.4,"(-2.210, -0.644)",-3.57,0
  Jordan,-0.818,0.39,"(-1.582, -0.055)",-2.1,0.036
  Jordan Valley,-0.939,0.384,"(-1.691, -0.186)",-2.45,0.014
  Joseph,-0.878,0.395,"(-1.652, -0.104)",-2.22,0.026
  Juliaetta,-0.912,0.449,"(-1.793, -0.032)",-2.03,0.042
  Juliette,-1.91,0.468,"(-2.828, -0.993)",-4.08,0
  Junction,-1.616,0.468,"(-2.533, -0.698)",-3.45,0.001
  Junction City,-0.808,0.386,"(-1.564, -0.052)",-2.09,0.036
  June Lake,-0.872,0.401,"(-1.659, -0.086)",-2.17,0.03
  Juneau,-0.081,0.465,"(-0.993, 0.831)",-0.17,0.862
  Juntura,-0.83,0.389,"(-1.592, -0.067)",-2.13,0.033
  Jupiter,-0.76,0.41,"(-1.564, 0.043)",-1.86,0.064
  Jurupa Valley,-0.846,0.384,"(-1.597, -0.094)",-2.2,0.027
  Justice,-1.166,0.404,"(-1.957, -0.375)",-2.89,0.004
